collaborator,collaboration
David Purser,Trombone [Cornucopia Ensemble]
David Ralicke,"Saxophone [Tenor], Trombone"
David Rampey,Bass Vocals
David Ramsay,"Electric Piano [Fender Rhodes], Grand Piano, Synthesizer [Minimoog, Polymoog]"
David Randall,Trumpet
David Ratajcak,Drums
David Read (6),"Baritone Saxophone, Flute, Alto Saxophone, Tenor Saxophone, Clarinet"
David Reinhardt,Lead Guitar
David Reinstein,"Saxophone, Flute, Other [Creative Guidance]"
David Reiser (3),Guitar [Uncredited]
David Reitzas,Engineer [Dean Park's Guitars Engineered By]
David Reskin,"Flute, Piccolo Flute"
David Restivo,Piano
David Revelli,Drums
David Rhen,"Tenor Saxophone, Flute"
David Rhodes,Guitar
David Rhodes (8),"Soprano Saxophone, Tenor Saxophone"
David Richey,Trombone
David Rieger,Tenor Saxophone
David Roach,"Tenor Saxophone, Soprano Saxophone"
David Robbins (7),Trombone
David Robinson (13),"Trumpet, Cornet"
David Rockefeller,Trumpet
David Rogers,Trumpet
David Roitstein,Keyboards
David Rokeach,Drums
David Root,Vocals
David Rosenboom,Piano
David Ross,Percussion
David Rothenberg,"Bass Clarinet, Clarinet"
David Rothschild,Trombone
David Rothstein,Bass
David Rousselet,Tenor Saxophone
David Rozenblatt,Drums
David Rubin (2),Drums
David Rubinson,"Tuba, Trombone [Bass]"
David Russell Young,Other [Steve's Acoustic Guitar By]
David Ryshpan (2),Keyboards
David S. Ware,Tenor Saxophone
David Sacks,Trombone
David Saleeba,Trumpet
David Samb,Trombone
David Sanborn,Alto Saxophone
David Sanchez (3),Tenor Saxophone
David Sanchez (4),Trombone
David Sancious,Keyboards
David Santos,Bass
David Sauzay,Tenor Saxophone
David Say,Saxophone
David Scanlon,Guitar
David Scheffler,Keyboards
David Schmitter,Tenor Saxophone
David Schnitter,Tenor Saxophone
David Schnug,Alto Saxophone [Alto Sax]
David Schotzko,Drums
David Schreiber,Vocals
David Schreurs,Piano
David Schwartz,Vocals
David Schweighart,Drums
David Scott,"Piano, Organ"
David Searcy,Bass Drum
David Seckinger,Bass
David Seidel,Bass
David Seidel (2),Bass
David Serame,Voice
David Sevestre,Saxophone
David Shaffer,"Drums, Percussion"
David Shapiro,Bass
David Shea,Keyboards
David Sheffield,Trombone
David Sherr,Alto Saxophone
David Shields,Bass
David Shipp,Bass
David Shostac,Flute [Alto/Bass]
David Shriver (2),Trombone
David Shuford,"Mandolin [Electric], Piano, Accordion [Diatonic Button], Harmonica, Zurna"
David Sierra (3),Drums
David Sills (3),Saxophone
David Silva,Trombone
David Simmons (4),Trumpet
David Simons,Percussion
David Six,"Piano, Keyboards"
David Skinner,Piano
David Skinner (3),"Piano, Piano [Prepared]"
David Smadbeck,Keyboards
David Small,Drums
David Small (3),"Drums, Percussion"
David Smith (22),Bass
David Smith (36),Trumpet
David Soldier,"Violin, Banjo, Guitar"
David Sparkman,Vocals
David Spencer (5),Trumpet
David Spinozza,Guitar
David Spitzer,Voice
David Sporny,Trombone
David Spyridon,Electric Bass
David Stackenäs,Guitar
David Stahl,Trumpet
David Ståhl,Guitar
David Stahl (4),Baritone Saxophone
David Stallsmith,Bass
David Stamps,Trombone
David Stark,Bass
David Stauffacher,Percussion
David Stein (6),Photography By [Saxophone Photo]
David Steinberg (2),"Drums, Percussion"
David Stent,"Guitar, Electronics"
David Stephenson,Baritone Saxophone
David Stewart (4),Drum Programming
David Stocklosa,Trombone
David Stoler,Piano
David Stout,Trombone
David Strong (3),Alto Saxophone
David Stump,Alto Saxophone
David Suarez,Saxophone [Tenor]
David Sundby,Drums
David Sycke,Trumpet
David Sylvian,"Voice, Sampler [Samples], Programmed By [Programming]"
David T. Walker,Guitar
David Tamura,Tenor Saxophone
David Tancredi,Drums
David Tatro,Trombone
David Taylor,Trombone [Bass]
David Taylor (2),Guitar
David Theak,Saxophone
David Thomas (40),Trumpet [Lead]
David Thor,Guitar
David Throckmorton,Drums
David Tillman (2),Acoustic Piano
David Tolley,"Acoustic Bass [With Pedals], Voice"
David Toop,Flute
David Torkanowsky,Piano
David Torn,Guitar
David Torres,Piano
David Tranchina,Bass
David Troncoso,Bass
David Tronzo,Guitar
David Trübenbach,Drums
David Tucker,Drums
David Tyson (4),Trumpet
David Udolf,Piano
David Ullmann,Guitar
David Urban,"Trumpet, Flugelhorn"
David Valdez,Alto Saxophone
David Van Kreidt,Tenor Saxophone
David Van Tieghem,"Percussion, Electronic Drums"
David Vanzan,Drums
David Vine (3),Steel Drums
David Virelles,Piano
David Vogel (4),Voice
David Vrobel,Alto Saxophone
David Waldo,Tenor Saxophone
David Wallumrød,Upright Piano
David Was,Backing Vocals
David Washburn,Trumpet
David Watson,Electric Guitar
David Watts (2),Double Bass
David Watts (4),"Electric Guitar, Acoustic Guitar"
David Weaver,Technician [Piano]
David Weinstein,Keyboards [Mirage Sampling]
David Weiss (11),Drums
David Weiss (9),Trumpet
David Wertman,Bass
David Wheat,Guitar
David White,Saxophone
David White (12),"Electric Guitar, Acoustic Guitar, Composed By, Arranged By"
David White (2),Saxophone
David White (5),Backing Vocals
David White (8),Backing Vocals
David Whiteley,Flute
David Whitman,Drums
David Whitworth,Vocals
David Widelock,"Electric Guitar, Acoustic Guitar [6 And 12 String Acoustic Guitars]"
David Wiesner,Bass
David Wilczewski,Saxophone
David Wildi,Guitar
David Wiles,Percussion
David Williams (2),Bass
David Williams (4),Guitar
David Wilson,Drums
David Winslow (2),Trombone
David Winstein,"Clarinet, Tenor Saxophone"
David Winterhalter,Tenor Saxophone
David Wise (5),Saxophone
David Wiske,Trombone
David Witham,Keyboards
David Wolfe (3),Alto Saxophone
David Wong,Bass
David Woodbridge,Trombone
David Woodbridge (2),Trombone
David Woodford,Alto Saxophone
David Worley (2),Trombone
David Worm,Vocals
David Wright (3),"Trombone, Piano, Electric Piano [Wurlitzer], Backing Vocals"
David Wright (5),"Keyboards, Saxophone"
David Xirgu,Drums
David Yamasaki,Guitar
David Yarborough,Saxophone
David Young,Bass
David Young (2),Trumpet
David Young (4),Tenor Saxophone
David Young (5),Trumpet
David Young (8),Bass
David Yow,"Performer, Vocals"
David Zalud,"Trumpet, Flugelhorn"
David Zurdo Paz,Drums
Davíð Þór Jónsson,Piano
Davide Baldo,Guitar
Davide Biancolini,Tenor Saxophone
Davide Brillante,Guitar
Davide Calcinai,Trumpet
Davide Di Gregorio,Flute
Davide DiRenzo,Drums
Davide Fiale,Drums
Davide Gamba,"Congas, Percussion"
Davide Ghidoni,Trumpet
Davide Ghio,Bass
Davide Giovannini,Drums
Davide Grottelli,"Alto Saxophone, Tenor Saxophone, Soprano Saxophone, Bass Clarinet"
Davide Liberti,Double Bass
Davide Lorenzon,Alto Saxophone
Davide Mantovani,Bass
Davide Merlino,"Drum, Kalimba, Cymbal [Piatti], Kanjira, Steel Drums [Steelplan], Percussion [Oggetti Percossi]"
Davide Mosconi,Piano
Davide Petrocca,Bass
Davide Quacquarella,"Djembe, Drums [Ethnic Drums], Bongos [Bongo], Shaker [Shakers], Cowbell [Cow Bells]"
Davide Santorsola,Piano
Davide Sormani,Voice
Davide Tilotta,"Clarinet, Alto Saxophone"
Davie Coleman,Drums
Davie Webster,Alto Saxophone
Davis Arrowsmith,Double Bass
Davis Ramey,Guitar
Davis Sanchez,Tenor Saxophone
Davor Črnigoj,Bass
Davor Doležal,Guitar
Davor Draganić,Double Bass
Davor Kajfeš,Piano
Davor Križić,Trumpet
Davu Seru,Drums
Davy Jones,Vocals
Davy Mooney,Guitar
Daweli Reinhardt,Guitar
Dawi Williams,Double Bass
Dawid Fortuna,Drums
Dawid Główczewski,Alto Saxophone
Dawid K. Wieczorek,Guitar
Dawilli Gonga,Keyboards
Dawn Andrews,Vocals
Dawn Clement,Piano
Dawn Foxall,Vocals
Dawn Gifford,"Trumpet, Flugelhorn"
Dawn Rhinehart,Flute
Dawn Saari,Voice [Alto]
Dawn Thompson,"Vocals, Percussion, Producer, Arranged By [Additional Horn And String]"
Dawn Williamson,Voice
Dawson,Percussion
Dax Compise,Percussion
Day Kelly,Trumpet
Dayna Stephens,Tenor Saxophone
DD Jackson,Piano
Ddkern,Drums
DdKern,Drums
DDKern,Drums
De John Le,"Banjo, Vocals"
De L'Amour,Vocals
De Witt Kay,Bass
Deák Tamás,Trumpet
Dean Artall,Trumpet
Dean Baerwald,Bass
Dean Bailin,Synthesizer [Programming]
Dean Baillin,"Synthesizer, Guitar"
Dean Birbeck,Drums
Dean Bowman,Vocals
Dean Brodrick,"Accordion, Piano, Percussion"
Dean Brown,Guitar
Dean Brown (4),Guitar
Dean Congin,Trumpet
Dean Cortez,"Bass, Vocals"
Dean Dewberry,Piano
Dean Douglas Johnson,Bass
Dean Earl,Piano
Dean Evenson,Flute
Dean Francis,Drums
Dean Fransen,Keyboards
Dean Gant,Electric Piano
Dean Granros,Guitar
Dean Haskins,Baritone Saxophone
Dean Hilson,Saxophones
Dean Hodges,Drums
Dean Hodges (2),Drums
Dean Hubbard,Trombone
Dean Hulett,Acoustic Bass
Dean Jennings,"Alto Saxophone, Tenor Saxophone"
Dean Johnson,Bass
Dean Johnson (3),Bass
Dean Kerr,Acoustic and Electric Guitar and Synth
Dean Kielian,Drums
Dean Koba,Drums
Dean Kosch,Drums
Dean Laabs,Trumpet
Dean Magraw,Guitar
Dean Martin,Vocals
Dean McNeill,Trumpet
Dean Menten,Trombone
Dean Menten (2),Trombone
Dean Mosley,Trumpet
Dean Nicyper,Tenor Saxophone
Dean Palanzo,Saxophone
Dean Parks,Guitar
Dean Plank,Trombone [Bass]
Dean Pratt,Trumpet
Dean Reichert,Guitar
Dean Reilly,Bass
Dean Robert Pratt,"Trumpet, Flugelhorn"
Dean Rolando,Keyboards
Dean Roubicek,"Tenor Saxophone, Flute"
Dean Schmidt,Electric Bass
Dean Sharp,Drums
Dean Taba,Bass
Deane Haslins,Saxophone
Deane Kincaide,Saxophone
Deanna Kory,Bassoon
Deanna Newton,Voice
Deanna Witkowski,Piano
Deantoni Parks,Drums
Deb Linehan,"Backing Vocals [Group Vocals], Guest"
Deb Lyons,Vocals
Deb Ryan (2),Piano
Deb Wagner,Trumpet
Deb'bora,Vocals
Debbie Andrews,Vocals
Debbie Katz-Knowles,Drums
Debbie Poryes,Piano
Debbie Rawson,Saxophone
Debbie Wildfong,Trumpet
Debby Jaspers,Vocals
Debi Craig,Vocals
Debi Selby,Backing Vocals
Deblon Jackson,Flute
Debo Oloko Obi,Drums [Second]
Débora Nascimento,Bassoon
"Deborah ""Punkin"" Shotlow",Backing Vocals [Of “Monument” Of The At Home Family]
Deborah Avery,"Alto Saxophone, Clarinet"
Deborah Brown,Vocals
Deborah Cooper,Backing Vocals [Additional]
Deborah Harry,Vocals
Deborah McDuffie,Vocals
Deborah Miranda,Vocals
Deborah Rawson,Saxophone
Deborah Thomas,Vocals
Debra Davis,Vocals
Debra Fay,Voice [Background]
Debra Laws,Backing Vocals
Debra Parson,Backing Vocals
Debra Scacco,Flute
Debra Smith,Guitar
Debrah Long,Vocals
Decebal Badila,Bass
Deco Trombone,Trombone
Dede Sampaio,Percussion
Dedre Twis,Backing Vocals
Dee Alexander,Vocals
Dee Barton,Drums
Dee Byrne,Alto Saxophone
Dee Daniels,Vocals
Dee Dee Bellson,Vocals
Dee Dee Bridgewater,Vocals
Dee Dee Ford,"Organ, Vocals"
Dee Ervin,Percussion
Dee Harvey,Backing Vocals
Dee Henrichs,Backing Vocals
Dee Huffsteter,Percussion [Latin]
Dee Johnson,Backing Vocals
Dee Lewis,Vocals
Dee Pop,Drums
Dee Settlemier,"Ukulele, Vocals"
Deek Watson,Vocals [First Tenor]
Deen Anbar,Guitar
Deepak Ram,Flute [Bansuri]
Deepika Thathaal,Voice
Defne Şahin,Vocals
Deidre Cartwright,Guitar
Deidre Rodman,Electric Piano
Deirdre Cartwright,Guitar
Deirdre Tuck,Backing Vocals
Dejan Berden,Piano
Dejan Hudoklin,Bass
Dejan Ilijić,"Composed By, Piano"
Dejan Lapanja,Guitar
Dejan Momčilović,Drums
Dejan Pecenko,"Piano, Electric Piano"
Dejan Pečenko,Piano
Dejan Potkonjak,Bass
Dejan Terzić,Drums
Deku (4),"Contrabass, Bells"
Del Atkins,Bass
Del Bialastosky,Guitar
Del Blake,"Percussion, Vibraphone"
Del Breckenfeld,"Bass, Vocals"
Del Delbridge,Piano [Uncredited]
Del Kacher,"Piano, Vocals"
Del Rabenja,Percussion
Delbert Felix,Bass
Delbert Hill,Baritone Saxophone
Dele Okonkwo,Saxophone [Tenor]
Delfeayo Marsalis,Trombone
Delia Fischer,Piano
Dell St. John,Vocals
Dell Thomas,Bass
Della Horne,Voice
Delle Haensch,Alto Saxophone
Delmar Brown,Synthesizer
Delmar Kaplan,Bass
Delores Harris,Vocals
Delores Hawkins,Vocals
Delores Pierce,"Voice, Lyrics By"
Delov Jávor,Drums
Delphine (23),Vocals
Delphine Lafon,Voice
Delphine Powaga,Backing Vocals
Delvon Dumas,Keyboards
Dely László,Percussion
Demas Dean,Trumpet
Demetri Pagalidis,Trombone [Bass]
Demetrios Pappas,Keyboards
Demi Garcia,Percussion
Demian Cabaud,Bass
Demián Cantilo,"Drums, Percussion"
Demian Kappenstein,Drums
Demian Richardson,Trumpet
Demirhan Baylan,Bass
Demo Morselli,Trumpet
Demond Gates,Drums
Dempsey Wright,Guitar
Dena DeRose,"Piano, Vocals"
Denardo Coleman,Drums
Denice Byard,"Vocals, Tambourine"
Deniece Williams,Vocals
Denis Aebli,Drums
Denis Badault,Keyboards
Denis Baggi,"Soprano Saxophone, Tenor Saxophone, Arranged By"
Denis Barbier,Flute
Denis Beganović,Trombone
Denis Benarrosh,Percussion
Denis Biancucci,Piano
Denis Biasion,"Guitar [Classical], Oud"
Denis Biason,Acoustic Guitar
Denis Brault,Saxophone
Denis Brély,"Bassoon, Saxophone, Oboe"
Denis Cath,Guitar
Denis Chancerel,Guitar
Denis Chappelet,Tenor Saxophone
Denis Charles,Drums
Denis Charolles,Drums
Denis Chauvet,Double Bass
Denis Close,Percussion
Denis Colin,Bass Clarinet
Denis Cuni Rodriguez,Trombone
Denis Cuniot,Piano
Denis Desanglois,Saxophone
Denis DiBlasio,Baritone Saxophone
Denis Favrichon,"Double Bass, Electric Bass"
Denis Fort,Saxophone
Denis Fournier,"Drums, Percussion"
Denis Fournier (3),Alto Saxophone
Denis Gäbel,Tenor Saxophone
Denis Girard,Electric Guitar
Denis Gueguen,"Composed By, Piano, Synthesizer"
Denis Guivarc'h,Saxophone
Denis Hébert,"Piano, Other [Organo]"
Denis Jabusch,Bass
Denis Jiron,Trombone
Denis Larochelle,Electric Piano
Denis Leloup,Trombone
Denis LeLoup,Trombone
Denis Levaillant,"Percussion, Tambora, Bongos"
Denis Luxion,Piano
Denis Mackrel,Drums
Denis Moog,"Guitar, Recorded By, Producer"
Denis Morissette,"Guitar, Programmed By"
Denis Pousseur,Piano
Denis Progin,Drums
Denis Shushkov,Double Bass
Denis Solee,Flute
Denis Stilke,Percussion
Denis T. Polis Nozile,Lead Guitar
Denis Tchangou,Drums
Denis Tempo,"Clarinet, Alto Saxophone"
Denis Trapasso,Trombone
Denis Vasilevsky,Drums
Denise Blue,Backing Vocals
Denise Brand,Piano
Denise Briese,Bass
Denise Butler,Saxophone
Denise Calley,Trumpet
Denise Carley,Percussion
Denise Cline,Trumpet [Lead]
Denise Dominguez,Trumpet
Denise Jannah,Vocals
Denise Kronabitter,"Voice, Melodica, Performer [Mallets], Loops [Live]"
Denise Morgan,Backing Vocals
Denise Perrier,Soloist [Vocals]
Denise Stewart,Arranged By [Backing Vocals]
Denise Thomson,Vocals
Denise Walls,"Lyrics By, Vocals"
Deniz Yavus,Vocals [Mogli Gesungen Von]
Denman Maroney,Piano [Hyperpiano]
Denner Campolina,Acoustic Bass
Denney Goodheim,"Saxello, Tenor Saxophone"
Denney Goodhew,Alto Saxophone
Dennis Alston,"Drums [Acoustic], Electronic Drums [Drumtronics]"
Dennis Anderson,Saxophone
Dennis Armatage,Piano
Dennis Armitage,"Tenor Saxophone, Piano"
Dennis Austin (2),"Percussion, Toy [Toys]"
Dennis Belfield,Bass
Dennis Bowden,Bass
Dennis Bradford,Drums
Dennis Brunk,Trombone
Dennis Budimir,Guitar
Dennis Burnside,"Arranged By, Conductor, Piano"
Dennis Caiazza,Bass
Dennis Carroll,Bass
Dennis Carroll (2),Bass
Dennis Chambers,Drums
Dennis Collins,Backing Vocals
Dennis Cooper (4),"Keyboards, Synthesizer, Drum Programming, Backing Vocals, Producer, Engineer"
Dennis Dahm,Trumpet
Dennis Davis,Drums
Dennis Davis (4),Bass
Dennis Day,Vocals
Dennis DeSantis,Drums
Dennis Donovan,Baritone Saxophone
Dennis Dotson,"Trumpet, Flugelhorn"
Dennis Dow,Drums
Dennis Duchhart,Keyboards
Dennis Durick,"Drums, Percussion"
Dennis Elliott,Drums
Dennis Esson,Trombone
Dennis Farias,Trumpet
Dennis Farmer,Trombone
Dennis Feece,Saxophone
Dennis Geyer,"Guitar, Vocals"
Dennis Gonzalez,Trumpet
Dennis Good,Trombone
Dennis Grillo,Trumpet
Dennis Groeff,Guitar
Dennis Haldane,Trumpet
Dennis Hamm,Piano
Dennis Heaven,Bass [Fender]
Dennis Hoffmann (2),Drums
Dennis Hyduk,Trombone
Dennis Hynes,Trombone
Dennis Irwin,Bass
Dennis James,Bass
Dennis Johnson (2),Bass
Dennis Junio,Saxophone
Dennis Kita,"Soprano Saxophone, Tenor Saxophone, Baritone Saxophone"
Dennis Kneulman,Drums
Dennis Lancion,Piano
Dennis Lodin,Trumpet
Dennis Lopez,Percussion
Dennis Lotis,Vocals
Dennis Luginbill,Trumpet
Dennis Luxion,Piano
Dennis Mackrel,Drums
Dennis Marks,Bass
Dennis Mason,Percussion
Dennis McCarthy,Keyboards
Dennis McDermott,Percussion
Dennis Melton,Bass
Dennis Moorman,Piano
Dennis Mpale,Trumpet
Dennis Murphy,Guitar [Bass]
Dennis Mycroft,Trombone
Dennis Noday,Trumpet
Dennis O'Tootle,Drums
Dennis Ohletz,Trombone
Dennis Oliver (2),Bass
Dennis Owen,Double Bass
Dennis Palmer,"Synthesizer [Korg 707, Casio Cz 101], Effects [Electro Harmonix 16 Second Delay]"
Dennis Parke,Trumpet
Dennis Parker (4),Bass
Dennis Rea,Guitar
Dennis Reynolds,Trumpet
Dennis Rollins,Trombone
Dennis Rowe (3),"Saxophone, Flute"
Dennis Rowland,Vocals
Dennis Roy,Double Bass
Dennis Rudge,Vocals
Dennis Sandole,Guitar
Dennis Scholtes,Tenor Saxophone
Dennis Smith (17),Trumpet
Dennis Smith (6),Drums
Dennis Smylie,Contrabass Clarinet
Dennis Spears,Vocals
Dennis Springer,Saxophone
Dennis St. John,"Drums, Percussion"
Dennis Strong,Drums
Dennis Taitt,Guitar
Dennis Terenzio,Saxophone
Dennis Tielkes,Keyboards
Dennis Tini,Keyboards
Dennis Tribuzzi,Trumpet
Dennis Walton,"Flute, Clarinet"
Dennis Warren,Drums
Dennis Wask,Trumpet
Dennis Wasko,Trumpet
Dennis Wheatley (2),Saxophone [Alto]
Dennis Wilson,Trombone
Dennis Wilson (5),Guitar
"Denny ""Dinty"" Curtis",Tenor Saxophone [Uncredited]
Denny Berthiaume,Keyboards
Denny Bunk,Trombone
Denny Christianson,"Leader, Trumpet, Flugelhorn"
Denny Dennis,Vocals
Denny Dias,Guitar
Denny Donaldson,Trumpet
Denny Fongheiser,"Drums, Percussion, Programmed By [Rhythm Programming]"
Denny Freeman,Drums
Denny Goodhew,Alto Saxophone
Denny Lalouette,Bass
Denny McCaffrey,"Guest, Vocals"
Denny Morouse,Saxophone
Denny Ray Pelletier,Drums
Denny Seiwell,Drums
Denny Wright,Guitar
Denny Zeitlin,Piano
Densil Pinnock,Vocals
Dent Eckels,Tenor Saxophone
Dent Hand,"Trumpet, Flugelhorn"
Denys Baptiste,Tenor Saxophone
Denys Lable,Guitar
Denzil Best,Drums
Denzil Laing,Percussion
Denzil Miller,Keyboards
Depo Indetto,Percussion
DePriest Wheeler,Trombone
Der Bekannte Post Industrielle Trompeter,"Trumpet, Electronics"
Der Schwarze Peter,Trumpet
Dereb Desalegn,Vocals
Dereck Phillips,Guitar
"Derek ""Oles"" Oleszkiewicz",Bass
Derek Abbott,Trumpet
Derek Austin,"Piano, Clavinet, Organ"
Derek Bailey,Guitar
Derek Banach,Trumpet
Derek Bomback,Guitar
Derek Bronston,"Guitar, Written-By, Arranged By, Producer"
Derek Brooks,"Bass [Electric Muffle], Keyboards [Synthesizer]"
Derek Cannon,Trumpet [Jazz]
Derek Cook,Acoustic Bass
Derek Crane,Saxophone
Derek Cunningham,"Saxophone [Baritone], Flute"
Derek Davidson,Percussion
Derek Day,Guitar
Derek DiCenzo,Lead Guitar
Derek Douget,"Alto Saxophone, Soprano Saxophone"
Derek Fairbrass,Drums
Derek Forbaire,Trombone
Derek Grossmith,Flute
Derek Harris (2),Trumpet
Derek Healey,Trumpet
Derek Hogs,Drums
Derek Horsfield,Saxophone [Tenor]
Derek Humble,Alto Saxophone
Derek James (7),Trombone
Derek Jones (3),"Acoustic Bass, Electric Bass"
Derek Jones (8),Drums
Derek Jones (9),Engineer [Drums]
Derek Kwong,Trombone
Derek Lawrence (2),Trumpet
Derek Leu,Electric Guitar
Derek Machan,Piano
Derek Nakamoto,Synthesizer
Derek New,Piano
Derek Nievergelt,Bass
Derek Peterson,Piano
Derek Phelps,Trumpet
Derek Price,Drums
Derek Rieth,"Congas, Percussion"
Derek Saw,Alto Saxophone
Derek Scherzer,Drums
Derek Schoppa,Trombone [Bass]
Derek Shirley,Bass
Derek Smith,Piano
Derek Trucks,Slide Guitar
Derek Vockins,Drum Set
Derek Wadsworth,Trombone
Derek Watkins,Trumpet
Derek Watkins (2),Trumpet
Derek West (2),Drums
Derek Wimpress,Drums
Derf Reklaw,Percussion
Derico Sciotti,Flute
Derico Watson,Drums
Derin Bayhan,Drums
Derk Jan de Jong,"Trombone, Vocals"
Dermot Harland,Saxophone
Derol Caraco,Acoustic Guitar
Deron Johnson,Keyboards
Derrek Phillips,Drums
"Derrick ""Kabuky"" Shezbie",Trumpet
Derrick Abbot,Trumpet
Derrick Abbott,Trumpet
Derrick Dymalski,Saxophone
Derrick Gardner,Trumpet
Derrick Hodge,Bass
Derrick James,Alto Saxophone
Derrick Richardson,Trombone
Derrick Schofield,Drums
Derrick Stout,"Vocals, Piano, Vibraphone, Percussion"
Derrick Strain,Drums
Derrick Youman,Lead Vocals
Derrin Maxwell,Vocals
Derry Byrne,"Performer, Trumpet"
Derryl Goes,Drums
Derwent Ridemaster,Tenor Saxophone
Derwin Holder,Bass
Derwyn Holder,Bass
Deryck Bentley,Trombone
Dés László,Soprano Saxophone
Des Lavelle,Saxophone
Des Lumsden,Alto Saxophone
Desa José,Percussion
Desdamona,Vocals
Desi Arnaz,"Guest, Vocals"
Desidério Lázaro,Tenor Saxophone
Design,Drums
Desire,Rap [Rap Vocal]
Desiree Yokely,Vocals
Deska Anugrah,Drums
Desmond Jones,Drums
Desmond White,Bass
Desolina Delpogetto,Soprano Vocals
Deszon X. Claiborne,Drums
Detlef Beier,Bass
Detlef Bielke,Keyboards
Detlef Götte,Keyboards
Detlef Hansen,Saxophone
Detlef Kessler,"Drums, Percussion"
Detlef Landeck,Trombone
Detlef Raschke,Alto Saxophone
Detlef Reinecke,Bass
Detlef Schönenberg,Drums
Detlev Beier,Bass
Detlev Jaeger,Saxophone
Detlev Kessler,Drums
Detlev Lais,Saxophone
Detlof Drees,"Piano, Mastered By, Liner Notes"
Detroit Brooks,Guitar
Detta Karbach,Vocals
Devin Eddleman,Saxophone
Devin Gray,Drums
Devin Hoff,Bass
Devin Maxwell,"Percussion, Percussion [Mallets]"
Devin McKnight,Acoustic Guitar
Devin Ocampo,"Guitar, Electric Bass"
Devin Sarno,Bass
Devin Van Hine,Vocals [The Pacific Youth Choir]
Devon Bestard,Trumpet
Devon Henderson,Bass [Acoustic]
Devon James,Guitar
Devon Johnson (2),Saxophone
Devonne Gardner,Vocals
Devonne Harris,"Piano, Organ, Bass"
Devorah Vlatkovich,Vocals
Dewayne McKnight,Guitar
DeWayne McKnight,"Electric Guitar, Acoustic Guitar, Sitar [Electric Sitar], Backing Vocals"
Dewayne Pate,Bass
Dewey Johnson,Trumpet
Dewey Redman,Tenor Saxophone
Dewey Sampson,Bass
Dewey Terry,"Harpsichord, Piano, Bass, Percussion"
Dexter Culbertson,Trumpet
Dexter Gordon,Tenor Saxophone
Dexter Hall,Guitar
Dexter Payne,"Clarinet, Alto Saxophone"
Dexter Story,Drums
Dexter Wansel,Synthesizer
Dezron Douglas,Bass
Dezso Lakatos,Alto Saxophone
Dezsö Lakatos,Saxophone
Dhafer Youssef,"Oud, Vocals"
Di Boyberiker Kapelye,Flute
Diahann Carroll,Lead Vocals
Diahnne Abbott,"Voice [First Person Singular, Female]"
Diamanda Galás,Voice
Diamond D,Voice [Shout-out]
Diamond Fuller,Drums
Diana Acuña,Vocals
Diana Herold,"Vibraphone, Percussion"
Diana Krall,Vocals
Diana Lee,Vocals
Diana Lewis,Piano
Diana Moreira,Vocals
Diana Moreira Booker,Backing Vocals
Diana Torti,Voice
Diana Torto,Vocals
Diana Ylvisaker,Soprano Vocals
Diane Anzovino,Vocals
Diane Besocke,Voice [Soprano]
Diane Byard,Vocals
Diane Cunningham,Vocals
Diane Kay,Flute
Diane Labrosse,"Keyboards, Voice, Sampler"
Diane Lindsay,Electric Bass
Diane Moser,"Piano, Composed By, Liner Notes, Producer"
Diane Parke,Saxophone
Diane Peters (2),"Harp, Voice"
Diane Schuur,Vocals
Diane Sumler,Backing Vocals
Diane Tidwell,Vocals
Diane Varvra,Soprano Saxophone
Diane Weigmann,Voice
Diane White,Trumpet
Dianne Brooks,Vocals
Dianne Reeves,Vocals
Dianne Wright,Vocals
Dice B,Vocals
Dick Abel,Guitar
Dick Arant,Trombone
Dick Bagni,Baritone Saxophone
Dick Bakker,Guitar
Dick Ball,Bass
Dick Bauerle,Guitar
Dick Bay,"Piano, Bass [Keyboard Bass]"
Dick Beeson,Drums
Dick Behrke,Trumpet
Dick Bellen,Bass
Dick Bellerose,Trombone
Dick Berk,Drums
Dick Bezemer,Bass
Dick Bienenfeld,Trombone
Dick Bird,Trumpet
Dick Bishop,"Banjo, Guitar"
Dick Borden,Drums
Dick Brady,Trombone
Dick Brady (3),Trombone
Dick Brightwell,Bass
Dick Carter,Bass
Dick Carter (2),Bass
Dick Cary,Piano
Dick Castle,Tenor Vocals
Dick Cathcart,Trumpet
Dick Chave,Trombone
Dick Clark,Tenor Saxophone
Dick Clark (4),Trumpet
Dick Clarke,Trumpet
Dick Cole,Trombone
Dick Collins,Trumpet
Dick Collins (2),Piano
Dick Cook,"Clarinet, Clarinet [E-flat], Tenor Saxophone"
Dick Cooper (2),Trumpet
Dick Cunliffe,Alto Saxophone [Uncredited]
Dick de Graaf,Flute
Dick De Graaf,Tenor Saxophone
Dick DeGray,Bass
Dick Dia,"Guitar, Mandolin, Soloist [Mandolin]"
Dick Douthwaite,"Clarinet, Saxophone"
Dick Dreiwitz,Trombone
Dick Dyer,Vocals
Dick Egner,"Bass, Acoustic Guitar, Guitar [Nail File]"
Dick Escott,Bass
Dick Evans,Guitar
Dick Felix,Bass
Dick Forest,Trumpet
Dick Forrest (2),Trumpet
Dick Fote,Trombone
Dick Fritz,Bass
Dick Garcia,Guitar
Dick Gerhart,Tenor Saxophone
Dick Goodwin,Bass
Dick Gould,Trombone
Dick Gray,Vocals
Dick Greene,Drums
Dick Griffin,Trombone
Dick Grove,Piano
Dick Groves,Piano
Dick Gyllander,Guitar
Dick Hadlock,Soprano Saxophone
